,Interval summary,,,,,,,,,,,,Velocity classes,,,,,,,,,,Zone: block,,,,,,,,,,,Zone: Ball,,,,,,,,,,,Zone: arena,,,,,,,,,,
animal ,Group,Date,Time,Run time,Avg. velocity (cm/s),Track length (cm),Activity (%),Ambulations,ZC,R ZC,Wall dist. (cm),Area covered (%),vc 1 (s),vc 2 (s),vc 3 (s),vc 4 (s),vc 5 (s),vc 6 (s),vc 7 (s),vc 8 (s),vc 9 (s),vc 10 (s),Duration (s),Velocity (cm/s),Tracklength (cm),Visits,Headbobs,Headstretches,Tailmoves,Freezings,Activity (%),Ambulations,Visit latency (s),Duration (s),Velocity (cm/s),Tracklength (cm),Visits,Headbobs,Headstretches,Tailmoves,Freezings,Activity (%),Ambulations,Visit latency (s),Duration (s),Velocity (cm/s),Tracklength (cm),Visits,Headbobs,Headstretches,Tailmoves,Freezings,Activity (%),Ambulations,Visit latency (s)
62,,15.03.2018,10:34:03,0:03:00,3.7,224.2,56.4,202,40,118,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,3.7,224.2,0,0,0,0,0,56.4,202,0
66,,15.03.2018,10:42:34,0:01:00,2.9,174.4,53.6,193,26,62,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,3,0,0,0,0,0,14,50.8,60,2.9,174.4,0,0,0,0,0,53.6,193,0
66,,15.03.2018,10:43:34,0:02:00,7.3,436.9,73.8,134,96,312,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",1,0,0,5,0,0,0,0,0,1,15.4,6.4,0,0,3,0,0,0,0,0,28,25,60,7.3,436.9,0,0,0,0,0,73.8,134,0
66,,15.03.2018,10:44:34,0:03:00,4.4,263.8,64.4,187,50,148,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0.6,0,0,2,0,0,0,0,0,0,36.2,1,0,0,1,0,0,0,0,0,7,33.8,60,4.4,263.8,0,0,0,0,0,64.4,187,0
67,,15.03.2018,10:53:52,0:01:00,7.2,429.3,75.2,174,87,273,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",6.9,0,0,39,0,0,0,0,0,19,25.9,2.8,0,0,3,0,0,0,0,0,18,34.6,60,7.2,429.3,0,0,0,0,0,75.2,174,0
67,,15.03.2018,10:54:52,0:02:00,9.2,551.1,85.9,129,137,390,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",1.6,0,0,4,0,0,0,0,0,4,30.4,5.5,0,0,7,0,0,0,0,0,28,14.7,60,9.2,551.1,0,0,0,0,0,85.9,129,0
67,,15.03.2018,10:55:52,0:03:00,8.2,494.4,71.9,150,116,295,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",8.3,1.7,2,13,0,0,0,0,34,13,1.4,3,0,0,6,0,0,0,0,0,11,25.4,59.9,8.2,494.4,0,0,0,0,0,71.9,150,0
68,,15.03.2018,11:06:29,0:01:00,7.7,460.6,83.8,124,91,297,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0.8,0,0,2,0,0,0,0,0,4,11.9,1.5,0,0,2,0,0,0,0,0,4,34.2,60,7.7,460.6,0,0,0,0,0,83.8,124,0
68,,15.03.2018,11:07:29,0:02:00,8.2,492.6,75.7,122,108,366,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0.8,0,0,5,0,0,0,0,0,1,6.1,4.4,0,0,4,0,0,0,0,0,11,4.5,60,8.2,492.6,0,0,0,0,0,75.7,122,0
68,,15.03.2018,11:08:29,0:03:00,7.7,461.8,75.3,131,119,321,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",7,12,9.5,10,0,0,0,0,38.9,12,4.8,4.2,0,0,4,0,0,0,0,0,13,6.7,60,7.7,461.8,0,0,0,0,0,75.3,131,0
